"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "JSON", "XML", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\John\Desktop\scholarsHub\scholarshub\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 25, 0, 14, 39
"c:\Users\John\Desktop\scholarsHub\scholarshub\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 10
"c:\Users\John\Desktop\scholarsHub\scholarshub\package-lock.json", "JSON", 0, 0, 0, 0, 13228, 0, 0, 0, 0, 1, 13229
"c:\Users\John\Desktop\scholarsHub\scholarshub\package.json", "JSON", 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"c:\Users\John\Desktop\scholarsHub\scholarshub\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\blueel.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\googl.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\net.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\researchblur.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\John\Desktop\scholarsHub\scholarshub\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\addresource\displayimage\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\addresource\final\page.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\addresource\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\addresource\page.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\addresource\resourceprivacy\page.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\John\Desktop\scholarsHub\scholarshub\src\app\api\auth\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 1, 6, 34
